,企業名,キャッチコピー,ステータス,給与
292,株式会社ユーエムロジ | 【AT限定でも応募可】残業ほぼなし｜月給31万円以上の高収入！,安心の食品物流業界！【ルート配送ドライバー(SP職)】未経験歓迎 正社員,正社員,月給／31万円以上(一律手当含む)＋諸手当 ※経験や能力、年齢などを考慮の上で月給額を決定します。 ※…
293,株式会社プログランス | 新サービス展開中！◆完全週休2日(土日祝)◆有給申請取得率100%,未経験歓迎！自社メディアの【法人営業】★賞与実績年3回 正社員,正社員,月給25万円〜40万円+インセンティブ 別途手当あり ※経験・年齢を考慮の上、当社規定により優遇します …
294,日本コンセントリクス株式会社 | ★完全在宅勤務・完全週休2日制・年休121日・原則定時退社★,オンラインストアの【問い合わせ対応】★全国募集(フルリモート) 契約社員,契約社員,【東京23区内で勤務する方】月給28.7万円〜 【東京23区外で勤務する方】月給25.2万円〜 ※経験・能力・…
295,"アークネット株式会社 | 「やる気スイッチ」のスクールIE,英会話スクール「WinBe」を運営",【教室長】★授業担当なし★優秀教室賞受賞×新校舎OPEN予定 正社員,正社員,■月給25万円以上+インセンティブ ※スキルや能力に応じて加給優遇します。 ※継続的に売上達成している…
296,株式会社リクルート北関東マーケティング | （RKM）【リクルートグループ】,「ホットペッパー」等の【企画営業】 ★未経験者OK/年休145日 正社員,正社員,"月給23万9,470円以上 + 達成インセンティブ ★未経験でも高収入スタート！ --------------------------…"
297,株式会社ワークステーション | TERRA COAT(テラ・コート),<除菌/抗菌>テラ・コート使用【光触媒コーティングFCオーナー】 FCオーナー,FCオーナー,1日軽自動車5台/20日稼働の場合 1台1万8000円×5台×20日＝月商180万円 └液剤：1台2695円×5台×20日＝2…
298,株式会社グリード | ＼ Web面接も可能 ／ 人気のエリア福岡でネクストキャリアを―！,"意欲次第で年収1,000万円も目指せます【 売買営業 】*年休120日 正社員",正社員,月給23万円〜50万円 ＋ 諸手当 ＋ インセンティブ ※年齢、経験、能力を考慮の上、 　給与を決定いたし…
299,宮崎海運株式会社 | 海で働くスケールの大きな仕事／給与も高水準で定着率抜群★,【内航船員】30日連続休日も可能★未経験からチャレンジ歓迎 正社員,正社員,◆月給23万円〜＋諸手当 ※上記はあくまでも最低保証額です。 ※経験・年齢・能力などを考慮の上、 　当…
300,関東総合設備工事株式会社 | 関電工（東証1部上場）の案件がほぼ100%を占める安定企業！,未経験歓迎！【電気工事士】★入社祝い金有★残業月平均20H以内 正社員,正社員,月給：25万円〜(一律手当含む）＋能率給+賞与年2回 ※年齢・資格・経験・ご家族状況等により優遇します …
301,株式会社進和ホームメンテナンス | 完全週休2日制／静岡で腰を据えて活躍／月収100万円も目指せる！,蓄電池など、エコ商材の【提案営業】未経験でも月給30万円以上！ 正社員,正社員,月給30万円〜+諸手当+インセンティブ＋賞与 ※上記は最低保証金額です ※経験・能力を考慮の上、決定い…
302,株式会社栄進コンサルタント | フレックスタイム制を導入！原則残業もなく自由に働ける環境です,飛び込み＆テレアポなし！【 保険の提案営業 】*在宅勤務OK 正社員,正社員,◆未経験者／ 月給22万円以上 ＋ インセンティブ ◆経験者／ 月給25万円以上 ＋ インセンティブ ※経験…
303,株式会社前原土建 | 【キャリアUPもOK】将来的には年収800～900万の大台も目指せる！,【土木系総合職(作業スタッフ・施工管理)】20代～30代活躍中☆ 正社員,正社員,【月給】24万円〜45万円 ※前職での経験・能力・収入を考慮し決定します。 　上記はあくまで入社時の最低…
304,京都第一交通株式会社 | 【業界大手の第一交通産業グループ】◎月収30万円以上も多数在籍,自社無線+配車アプリで収入安定【タクシードライバー】未経験OK 正社員,正社員,"■月給20万円 + 歩合給 + 諸手当 + 賞与（年3回） 【試用期間3ヶ月】 乗務前・二種取得期間：日給8,000円…"
305,北王流通株式会社 | 設立から30年◆働きやすさ抜群の安定環境で長～く勤務◆,【ルート配送ドライバー】◎未経験歓迎 ★月給28万円以上！ 正社員,正社員,"月給28万8,000円〜 + 賞与:年2回 ＋ 各種手当 これまでの経験・スキルを考慮して決定します。 時間外手当…"
306,有限会社力工業 | ＜日払い・週払い相談OK＞複数資格の取得をサポート,未経験でも月給27万円～【設備スタッフ（設置・メンテナンス）】 正社員,正社員,【月給もしくは日給より選択】 [A]月給27万円〜51万円+各種手当+賞与年2回 [B]日給1万円〜2万円 ※あな…
307,株式会社エム・シー・ピー | ★基本定時退社★正当評価で年収1000万円も可能★昇給年4回,★残業なし★最大18連休！メリハリつけて働ける【積算スタッフ】 正社員,正社員,【経験者】月給34〜70万円 【未経験者】月給25〜40万円 ※経験や前職の給与を考慮の上、決定いたします …
308,株式会社Fun Work | 国家資格・民間資格の取得をサポート！月収50万円以上も可能！,【メンテナンススタッフ】★未経験スタートでも月給26万円～！ 正社員,正社員,未経験の方／月給26万円以上 経験者の方／月給30万円以上 《月収例》 ・月収34万円 ★月収50万円以上も…
309,株式会社伸芽会 | <校舎数増加の成長企業>★残業月平均20hほど★福利厚生充実,託児や学童サービスの【反響・提案営業】★未経験OK★実働7時間 正社員,正社員,■月給26万円〜 ※他、奨励給制度あり ※経験やスキルを考慮して決定します ※試用期間6ヵ月あり（期間中…
310,株式会社エム・シー・ピー | ★年齢不問★連続休暇取得も可★資格取得支援有★20～50代活躍中,【マンション修繕の施工管理】年収1000万円も可能/昇給年4回実績 正社員,正社員,【未経験者】月給28〜45万円 【経験者】月給35〜70万円 ※経験や前職の給与を考慮の上、決定いたします …
311,株式会社コアグラフィックス | 【キャラ・アニメコラボ企画多数】土日祝休★年間休日120日以上,【グラフィックデザイナー・アートディレクター】★前給保証！ 正社員,正社員,月給28万円以上 ＋ 賞与年2回 ※前職の給与額以上を保障します。 ※経験・年齢を考慮の上、当社規定によ…
312,株式会社ＩＢＪ | 【東証一部上場企業】◆年休124日◆完全週休2日(土日祝),【相談所開業営業】婚活サポート★名古屋限定募集／転勤なし★ 正社員,正社員,月給28万〜32万円＋月次賞与＋年2回賞与 ※経験・スキルを考慮の上、決定します。 ※試用期間6ヵ月（待…
313,山三交通株式会社 | 未経験活躍中／格安＆キレイな社員寮有！上京も支援／Web面接OK,稼ぎたい・マイペース両方OK【タクシー運転手】★年休125日以上 正社員,正社員,月給23万円以上 ＋ 歩合給 + 賞与年2回 ※初乗務後「月給30万円〜(3か月間)」給与保証 ※乗務開始するま…
314,株式会社ノア | 大手メーカー・家電量販店から信頼の厚い専門商社★残業ほぼなし,ニーズの高いLED照明機器を扱う【法人営業】＊土日祝休み 正社員,正社員,年俸360万円〜480万円＋インセンティブ （月収例：月収30万円〜40万円） ※年俸制（基本給および業務手…
315,株式会社ツイテルホーム | 転勤なし｜未経験でも高収入｜ノルマなし｜WEB面接実施中,お金を払う営業！【リサイクル営業】※1年目から月収40万円可 正社員,正社員,月給23万円〜35万円+歩合給 ※試用期間1ヶ月あり（その間は月給22万円） ※歩合は売上や成約件数によっ…
316,株式会社建築資料研究社 | 景気に左右されない！資格系スクール「日建学院」を運営,新宿校募集【総合職(ライセンスアドバイザー・システム営業)】 正社員,正社員,"月給27万7,000円〜（一律営業手当含む）＋インセンティブ＋各種手当（車両持込手当など） ※固定残業代…"
317,関西ポリマー株式会社 | 創業40年｜年休122日｜未経験歓迎｜大阪府緊急雇用対策に賛同,【製造スタッフ】土日祝休みの完全週休2日制 正社員,正社員,月給20万円以上＋諸手当 ※経験・スキルに応じて優遇します 【モデル年収】390万円／入社3年目 ★社員…
318,株式会社くらいす住建 | ★未経験でも月給30万～選択可★目標は全社員有給取得率100%！,オープニング募集★【リフォームアドバイザー】※土日祝休みOK 正社員,正社員,【選べる働き方】 ■A：月給30万円以上＋歩合給＋達成金（月最大12万円まで） ■B：月給18万円以上＋歩合…
319,エアリーヴィレッジ株式会社 | 経験を活かして「即戦力」として活躍｜面接1回,【自動車整備士】賞与年2回／月給25万円～／インセンティブあり 正社員,正社員,"■月給250,000円以上 ※上記は年齢・能力・経験・前給を考慮して面談で決定します。"
320,株式会社KDDIエボルバ | 《男女共に活躍出来る職場》年間休日123日／残業も殆どナシ,【カスタマーサポート】自慢の職場環境！6月入社積極採用中★ 正社員,正社員,"月給203,500円以上 ＋ 残業代別途支給 ＋ 各種諸手当＋一時金(会社の業績による) ※経験・能力を考慮のう…"
321,福岡エムケイ株式会社 | 【 MKグループ 】★ 6月6日(日)福岡転職セミナー参画 ★,【グランドパイロット(役員送迎・VIP送迎/空港送迎)】※転勤なし 正社員,正社員,月給25万円＋業績給＋賞与年2回＋一律手当 ◎いずれも基準外手当として固定残業代を含む（超過分手当別…
322,有限会社高本鑑定事務所 | 【大阪府緊急雇用対策に賛同】月収50万超も可能｜完全週休2日,未経験から活躍!【損害調査スタッフ】残業少なめ＆年休120日以上 正社員,正社員,■月給18万〜22万円＋諸手当＋業績給 ※業績給があるため、月収50万超えも可能！ ※経験・能力・年齢を考…
323,株式会社エスコーポレーション | 大阪府緊急雇用対策に賛同／月収50万円超も可／完全週休2日,世界に1台の車を提案する【カーライフアドバイザー】ノルマなし 正社員,正社員,"月給200,000円~400,000円 + インセンティブ + 賞与年2回 ※年齢・経験・スキルを十分考慮の上、当社規定…"
324,株式会社エイトハウジング | ★★未経験でも大歓迎★★業績好調！大阪府緊急雇用対策に賛同,月給30万も選択可！高収入を手に【既存営業】※土日休・定時退社 正社員,正社員,【選べる働き方】 ■A：月給30万円以上＋歩合給＋達成金（月最大12万円まで） ■B：月給18万円以上＋歩合…
325,株式会社サンライト | 茨城県水戸市に拠点を置いたリフォーム事業で、売上前年比139％,【修繕・リフォーム提案営業】点検で訪問した自宅限定！未経験OK 正社員,正社員,月給25万円以上＋インセンティブ ※試用期間3ヵ月あり（期間中に待遇の変動はございません） ※上記には…
326,株式会社ステップアップ | 県外応募も大歓迎！引越手当あり/基本月9日休み/コロナ対策万全,店長採用なら月給35万円～【店長・店長候補】 正社員,正社員,≪小松店≫ ◆店長:月給35万円〜(飲食店管理職経験者) ◆店長候補:月給30万円〜 ≪高円寺店≫ ◆店長:月…
327,西日本高速道路エンジニアリング中国株式会社 | 【NEXCO西日本グループ】◎年収600万円以上も目指せます！,【土木技術者(管理・点検・設計など)】◎年休120日×完全週休2日 正社員,正社員,月給：21万円以上+諸手当 ※経験・年齢・スキルを考慮の上、決定します。 ※入社1年は契約社員として雇…
328,鹿島フィット株式会社 | 大手ゼネコン鹿島グループ｜充実した福利厚生,【ALC・ECPの施工図・割付図作成及び打合せ】※経験者募集 正社員,正社員,月給30万円以上 ※あくまで最低限の給与となります。 　経験・能力を最大限考慮の上、決定しますので、 …
329,株式会社日本シーマート | 《イオンタウン茨木太田店内に新店OPEN》大阪・奈良に5店舗展開,未経験でも月給24万円～!【店舗スタッフ】★高収入が目指せる 正社員,正社員,◆月給24万円〜36万円＋各種手当＋賞与年2回 ※上記はあくまでも最低保障です ※年齢、経験、能力を考慮…
330,"株式会社トータル | 賞与年2回＋決算賞与は8年連続で支給｜毎年5,000円以上昇給あり",社員定着率90％超！社員想いの好環境★【施工管理スタッフ】 正社員,正社員,未経験者：月給22万円〜60万円 経験者：月給35万円〜 ★前職給与を考慮します！ ※上記の基本給に諸手当…
331,株式会社ポイント | 【大阪府緊急雇用対策に賛同】インセンティブ・1台につき30万円,未経験から年収1000万円も目指せる！【提案営業】年休125日以上 正社員,正社員,【明確なインセンティブ支給！】 月給：20〜50万円＋月ごとのインセンティブ ★月収例 月収90万円／月給…
332,新日本ネクステート株式会社 | ◇30代・男性が活躍中◇スキルを活かせて働き方自由！ノルマなし,【不動産営業】働き方自由！年収3000万円も目指せる！ 正社員,正社員,月給27万円＋歩合 ※固定残業代30時間分／5万円含む 　超過分別途支給 【試用期間】3ヶ月 期間中は月給2…
333,株式会社ルクス | コロナ禍でも急成長の業界/実力次第で高収入/20～30代活躍中,リスティング広告運用経験者大歓迎！【WEBマーケティング】 正社員,正社員,月給：30万円〜55万円 ※経験、前職給与を考慮の上、決定します。 ※試用期間1〜3ヶ月あり（月給28万円…
334,株式会社千商 | 出退勤や工程管理をIT化！ドローンスクールへの通学も検討中,官公庁や大手と取引！安定企業の【施工管理】★IT化で残業削減中 正社員,正社員,【未経験】 月給23万円〜36万円＋各種手当 【経験者】 月給30万円〜50万円＋各種手当 【モデル年収例】…
335,株式会社キュービック | ＜業績好調成長中！＞残業ほぼ無★賞与年2◎有休消化率80％以上,CMでお馴染みBBIQ※九電グループ商材【企画営業】未経験大歓迎！ 正社員,正社員,月給24万円〜65万円 ＋ インセンティブ + 賞与（年2回） ※経験・能力などを考慮の上、加給優遇します。 …
336,株式会社東亜産業 | 20代～30代中心に活躍中／年間休日120日以上,急成長メーカー企業の【法人営業】◆昇給随時＆歩合あり 正社員,正社員,月給25万円以上＋歩合 ※経験・スキルを考慮の上、決定します。 ※成約数に応じて歩合を支給します。 ※…
337,大洋建設株式会社 | ☆定着率高／週休2日☆大使館や消防庁、大手企業など取引多数！,未経験歓迎の【進行管理スタッフ】◎年齢/ブランク不問◎面接1回 正社員,正社員,＜業界未経験の方＞ 月給：26万円〜50万円 ＜業界経験ある方＞ 月給：30万円〜60万円 ※年齢・経験・ス…
338,タツミ電気工業株式会社 | 設立からの離職者ゼロ。大手電気工事会社からの受注で安定成長。,【電気工事士】未経験の方にも親身にお教えするので安心 正社員,正社員,月給：21万円〜27万円 ※経験、能力、年齢などを考慮のうえ決定します。 ※試用期間6ヶ月あり（待遇に変…
339,株式会社コプロ・エンジニアード | 東証・名証一部上場のコプロ・ホールディングスグループ,年収1000万円も叶う【プラントエンジニア(施工管理／設計)】 正社員,正社員,月給50万円〜85万円+残業手当 ※上記給与は最低支給額です。前職給・年齢・経験・能力などを考慮し、支…
340,上海中和軟件有限公司 | (上海中和株式会社)◆大手直取引◆日中合弁企業として1991年設立,年収1200万円も目指せる！【SE・PG】1ヶ月超の長期休暇可 契約社員,契約社員,年俸：540万円〜1200万円 ※年俸額の1/12を毎月支給（月額45万円〜100万円） ※経験・スキル・年齢を考慮…
341,イオンリチウムエナジー株式会社 | 【 隔週週休3日制 】新拠点が続々とオープン！成長企業で活躍,月給40万5000円以上！新規事業の立ち上げメンバー【提案営業】 正社員,正社員,月給40万5000円以上＋手当＋インセンティブ ※経験・年齢を考慮の上、優遇いたします。 ※試用期間2ヶ月…
342,"株式会社ヒビヤト | 未経験OK！日給月給22万7,500円以上スタート！◆100％面接保証",空調・衛生設備の【メンテナンススタッフ】★未経験歓迎 正社員,正社員,"日給月給22万7,500円〜44万5,000円 ★モデル年収 26歳／470万円 ※経験・年齢を考慮の上、当社規定により…"
343,有限会社中日本物流 | 自分専用トラック！／創業35年の安定企業／体力的負担が少ない！,【ナイトドライバー】月収30万以上可！／近距離配送／高速使用可 正社員,正社員,月給：25万〜30万円＋諸手当 ※あなたの経験や年齢などを考慮し決定いたします。
344,FUJINO HOUSE ENGINEERING株式会社 | #大阪府緊急雇用対策に賛同#シンプルワーク#Web面談#副業可,収入が自慢できる！月給27万円以上の【作業スタッフ】※残業なし 正社員,正社員,月給27万円〜＋歩合給（売上の50％を還元） ⇒月収例：55万円／29歳 ※経験、年齢、能力を考慮のうえ、決…
345,株式会社カインドホーム宇都宮 | 月給30万～70万円+高額インセンで年収800～900万円も実現可能！,ニーズがある商談のみを担当！提案に集中できる【営業職】 正社員,正社員,月給30万円〜70万円＋売上に応じた高額歩合給 ※試用期間3カ月は25万円
346,日本車輛洗滌機株式会社 | 《創業60年超》新幹線や列車、バス等の洗車機を製造・販売,【洗車機システムの設計】★完全週休2日(土日祝)★年休120日以上 正社員,正社員,月給30万〜50万円 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3ヶ月（待遇に変更なし）
347,センターゲート株式会社 | *土日祝休み*原則定時退社*テレアポなし*,企業のオフィス移転をサポート！法人向け不動産の【提案営業】 正社員,正社員,◆月給：23〜28万円+歩合給(毎月支給) →成果に対してしっかり歩合で還元。契約金額の10％が月給に反映さ…
348,株式会社Ｆｏｒ　Ｙｏｕ　Ｃｏｎｓｕｌｔｉｎｇ | やる気スイッチの「スクールIE」運営/上尾・北本・鴻巣で新教室!,＼新教室立ち上げ！／個別指導塾の【教室長候補】★教育経験不問 正社員,正社員,"月給240,000円〜 ＋ インセンティブ ※経験、スキルなどを考慮した上、決定します。 ※試用期間3ヵ月あり"
349,株式会社A-Trus | ☆年間休日122日☆《 毎月の歩合給あり！頑張りが収入に直結！》,企業と求職者をマッチングする【営業スタッフ】平均月収35~40万 正社員,正社員,【 月給20万円以上＋歩合給＋各種手当 】★平均月収35~40万円 ※あなたの経験・スキルを考慮して決定い…
350,株式会社Ｍｕｓｈ－Ｒｏｏｍ | 【大阪府緊急雇用対策に賛同】■大手クライアントとの取引多数,【WEBマーケター／ディレクター】ポテンシャル重視の選考です！ 正社員,正社員,月給28万円〜40万円 ※経験・スキルに応じて優遇します。 【備考】 お互いを知るための期間として、1〜…
351,株式会社ユーアイテック | 右肩上がりの成長を継続,【電気工事スタッフ】経験・知識・資格不問。面接は1回のみ 正社員,正社員,日給1万円〜1.5万円（固定残業手当1時間1500〜2250円含む） ※固定残業時間超過分別途支給 ※経験・能力…
352,東山管理センター株式会社 | 関西トップクラスの実績／資格手当など福利厚生充実,快適な水環境を守る【調査・メンテナンス】 ★年休125日★ 正社員,正社員,完全週休2日制…月給20〜29万円＋諸手当 週休2日制………月給23.5〜35万円＋諸手当 ※希望に応じて選択可…
353,株式会社ドリームジャック | 【売上155％増で拡大中】1人ひとりの理想を応援！★副業もOK,理想の環境でキャリアが広がる【開発エンジニア】★テレワーク可 正社員,正社員,"◇月給30万円〜50万円 ※固定残業代（4万1,000円〜6万8,500円、20時間相当分）含む。 　20時間超過分は…"
354,株式会社曙佳源 | 安定成長中！グローバルIT企業★残業月20時間以下,中国語を活かしたい方は、一定要看！【ITエンジニア】 正社員,正社員,月給23万円〜40万 ※年齢、経験、能力を考慮の上、当社規程により決定いたします。
355,株式会社フィット | 新型コロナにも影響されない／大手と直取引で安定の経営基盤！,＼求ム、社長の右腕！／【営業】★仕入れのエキスパートへ育成 正社員,正社員,月給25万円〜35万円＋賞与(年2回)+インセンティブ ※経験・年齢を考慮いたします ※試用期間3ヶ月(月給23…
356,株式会社めいしんグループ | 努力や成果をインセンティブで還元！◎年間休日120日以上,【コンサルティング営業】★人柄重視採用！★スピード昇格可能！ 正社員,正社員,◆月給23万8000円以上＋インセンティブ ※上記はあくまで最低保証金額です。経験・年齢を考慮の上、優遇…
357,FUJITSU UT株式会社 | 完全週休二日制(土日休)／残業少なめ／月給20万円以上も可能！,経験者採用・日勤勤務【生産管理スタッフ】入社祝い金20万円有 正社員,正社員,"月給175,000円〜＋各種手当 ※面談を通し経験、スキルなどを確認させていただき考慮のうえご提示させてい…"
358,株式会社ファイン | 駅近 ＊ 面接保証 ＊ 未経験OK ＊ 20代社員活躍中,月給30万~★残業10h以内★レジャーホテルの【客室管理スタッフ】 正社員,正社員,月給30万円以上 ★経験・能力をしっかり考慮！ ※試用期間最長3ヶ月あり（期間中は月給27万円）
359,株式会社wings | ［一番のキレイはお客様の笑顔］クリーニング業界のパイオニア,【ルート営業】週休2日！テレアポ一切なし！いきなり社長面接◎ 正社員,正社員,月給25万円〜＋各種手当＋インセンティブ ※経験・能力等を考慮した上で決定いたします ＼頑張りを正当…
360,株式会社前川造園土木 | 大手電力会社と直取引＆業績安定／大阪府緊急雇用対策に賛同,街の景観を守る【造園プランナー】年休125日/月給40万円以上可能 正社員,正社員,◆月給22万円 〜 40万円 ＋ 各種手当 ＋ 賞与（年2回） 《備考》 ※昇給あり！上記は最低保証額です ※…
361,株式会社マツミ | フランク&自由な社風で、誰よりも楽しく働きたいなら当社一択！,★未経験OK！【総合職(カーコンシェルジュ／査定アドバイザー)】 正社員,正社員,【月給】22万〜45万円＋インセンティブ ※入社前のご経験などを総合的に評価、優遇します ※試用期間3か…
362,株式会社大軌 | 月収32万円以上を目指せる／賞与3回／大阪府緊急雇用対策に賛同,JRのパートナー企業！線路の【保守・メンテナンス】未経験歓迎！ 正社員,正社員,"■日勤：日給8,000円 ■夜勤：日給1万円 【モデル月収例】 月収32万円（入社1年目） 月収35万円（入社2…"
363,株式会社太田興産 | JASDAQ上場（株）ジェーソンの持株会社◆銀座4丁目の自社ビル！,【不動産管理】★自社が所有する賃貸物件の管理★年間休日120日 正社員,正社員,"◆月給24万5,900円 以上 ＋ 賞与年2回(昨年度実績：2.5ヶ月分) ・月給には固定残業代30時間分（45,900円…"
364,株式会社ワークナビ.com | [ コロナ前より業績好調！]■2021年ベストベンチャー100に選出！,"『楽しく稼げる会社』""NO.１""を目指す！【法人ルート営業】 正社員",正社員,◆月給35万円〜+諸手当+インセンティブ+賞与 ※年齢・経験・能力を考慮の上、決定します。 ※上記月給に4…
365,松田土木工業株式会社 | 姫路密着／リピート多数／増収増益★7年連続決算賞与支給中,安定基盤で働く【建築施工管理】◎未経験者でも27万円スタート！ 正社員,正社員,"【未経験者】月給27万円〜38万円 【経験者】月給31万9,000円〜40万5,000円 ※別途手当 ＋ 賞与年2回 ※経…"
366,株式会社ライフエージェント | 業績UP！コロナの影響なし！病院など専門的な内装工事のプロ集団,【作業スタッフ】＊残業ほぼなし・土日休み・月給24万円以上保証 正社員,正社員,【未経験者】 月給24万〜30万円 + 諸手当 + 賞与年2回 【経験者】 月給30万〜40万円 + 諸手当 + 賞与年2…
367,東葉技建株式会社 | 賞与年2回、昨年6ヵ月支給！年収700万円超の先輩も多数在籍中,しっかり休める【建築施工管理】土日祝休み週休2日＆年休120日 正社員,正社員,月給20万円〜40万円＋残業代＋諸手当 ※経験、能力を考慮の上、優遇します。 ※試用期間3ヵ月あり（同条…
368,株式会社海山組 | 【ベテランのスキル、歓迎します。】※※年齢不問募集※※,★入社祝い金最大30万円支給（※1）★【土木施工管理】 正社員,正社員,月給40万円〜 55万円 + 諸手当 ※今回の転職が不利にならないよう、あなたの年齢、経験、能力を考慮のう…
369,株式会社晃和コンサルタント | 宮崎で業界トップクラスの実績☆スキルアップも目指せる！,【建設コンサルタント】★年間休日120日以上★土日祝休み 正社員,正社員,月給20万5000円〜40万円 + 通勤手当（5000円〜）＋諸手当 ＜モデル例＞ ・年収500万円／20代／建設コン…
370,冨士自動車株式会社 | 安定のKmグループ★年220休も可能／平均年収500万円／電話面接可,家電付き個室寮あり★全車両ハイグレード【タクシードライバー】 正社員,正社員,月給30万円以上 ★経験、未経験問わず初乗務後はさらに20万円支給！ 【研修中について】 ・未経験者(1〜…
371,信盛物流株式会社 | 【1人1車！車内環境もあなたの自由！】大阪府緊急雇用対策に賛同,"未経験歓迎！選べる働き方 ""日勤or夜勤""【ルート配送スタッフ】 正社員",正社員,●日勤：月給37万円以上 ●夜勤：月給39万円以上 ※月給には一律手当を含む ※経験・能力を考慮の上、決…
372,三喜工業株式会社 | <海外事業も積極的>コロナの影響もほぼなしの安定&成長企業,月給50万も可能★【管理スタッフ】年休115日/賞与年3回/未経験OK 正社員,正社員,◆経験者：月給40万円〜50万円 ◆未経験：月給30万円〜40万円 ※それぞれ一律諸手当含む ※経験・スキル…
373,株式会社今井自動車教習所 | ☆販売・サービス業出身者多数活躍中【フォロー体制抜群の環境】,【教習インストラクター】◎年収400万円以上可！※未経験大歓迎 正社員,正社員,月給22万円以上＋諸手当（残業代は別途全額支給）＋賞与年2回　★☆ ※教習指導員の資格取得前は月給19…
374,株式会社エス・ケー・アイ | 医師専門人材エージェント,【営業・コーディネーター】未経験者も無理なく売れる秘密あり！ 正社員,正社員,月給35万円〜50万円 経験・能力・スキル等を考慮の上、当社規定により決定します。 固定残業代95時間分/1…
375,新日本住建株式会社 | ★チャンスも大きい！最大4名採用 ★土日祝休みと働きやすい環境,【総合職(経理/総務)】経験浅め～エキスパートまで幅広く採用！ 正社員,正社員,月給：22万円〜40万円 ※前職や経験、スキルを考慮の上、優遇いたします。
376,株式会社エイコーレンタサービス | コロナ禍でも拡大！コインパーキングを運営する成長企業,コインパーキングの【提案営業】◎高い成約率が営業力を後押し 正社員,正社員,月給24万円〜＋インセンティブ＋賞与年2回 ※経験・スキル・年齢を考慮の上、決定します。 ※上記金額に…
377,ケイエイツー株式会社 | 店舗拡大中の急成長住宅メーカー★2020年度グッドデザイン賞受賞,UIターン歓迎／WEB面接OK／引越代負担あり【経理】★月給25万円~ 正社員,正社員,月給25万円〜35万円 + 諸手当 ※年齢、経験、能力を考慮の上、優遇します。 ※最長3ヶ月間の試用期間あ…
378,株式会社タイセイ | 感謝と稼ぎが比例する総合不動産会社｜大阪府緊急雇用対策に賛同,お客様と二人三脚で住まいをつくる【設計アシスタント】 正社員,正社員,月給28万円〜40万円 ※上記には固定残業手当（5〜7万円/27時間分）が含まれます。 ※超過した分は別途全…
379,株式会社興徳クリーナー | 転勤・出張・夜勤なし／だんじり祭りの時期のお休みなども相談OK,月収45万円も目指せる！【倉庫作業スタッフ】※年間休日120日 正社員,正社員,"■月給18万円〜25万7,000円＋残業代100％支給＋諸手当＋賞与年2〜3回 【月収45万以上の社員が多数！】 …"
380,株式会社ARS | 連続売上UP!業界高水準の給与!/選べる賞与年4回orインセンティブ,【メンテナンススタッフ】コロナ禍でも好業績/年休122日保証!! 正社員,正社員,"月給：220,000円〜500,000円 ※年齢・経験・能力を考慮し決定します。 ※上記には37時間分の固定残業代(5…"
381,株式会社Y’S GARAGE | 完全週休2日残業月10h／住宅手当支給でU・Iターン歓迎／未経験OK,ノルマナシ＆完全反響型【自動車提案営業】島根or京都で活躍！ 正社員,正社員,月給25万円以上+月次達成手当+賞与年2回 ※経験やスキルを考慮して基本給を決定いたします。 ※固定残業…
382,株式会社アクト | ＼賞与は4～5ヶ月分を支給／残業は月平均10時間ほどです,＜前職給与保障＞道路や河川などの【施工管理】★年休113日 正社員,正社員,【未経験】 月給25万円以上 【経験者】 月給35万円以上 ★前職給与を保障します！ ※年齢・経験・スキ…
383,株式会社メディカルアシスト | <大阪府緊急雇用対策に賛同>年休120日以上／難波駅より徒歩スグ,【税理士補助】土日休み／20～30代が活躍中／インセンティブあり 正社員,正社員,月給30万円以上＋インセンティブ ＼インセンティブについて／ ★スポットで担当する案件の契約額×20%を…
384,株式会社東名 | 2020年7月に東証・名証一部に上場しました！,【ソリューション営業】月給27万円以上／インセン有／未経験OK 正社員,正社員,"■月給27万円以上＋各種手当＋インセンティブ （上記には固定残業35時間／70,000円以上を含む） ※経験…"
385,株式会社Y’S GARAGE | 経験者月給30万円以上／住宅手当支給でU・Iターン歓迎／未経験OK,完全週休2日＆残業少なめ【自動車整備士】島根or京都で活躍！ 正社員,正社員,【経験者or資格保有者】月給30万円〜38万円+月次達成手当+賞与年2回 【未経験者】月給23万円〜30万円+月…
386,Bigmac株式会社 | 3期連続で200%成長を遂げているデジタルマーケティング企業,デジタルマーケティングの【営業職】 正社員,正社員,◆月給17万〜50万円 ＜平均年収＞ 300万円〜600万円 ※これまでの経験・能力等を十分に考慮し、当社規…
387,株式会社LIV | 大手芸能プロダクションと提携！応募～内定まで1週間以内！,新事業を成功へ【芸能マネージャー／営業】未経験OK・20代活躍中 正社員,正社員,月給22万円〜30万円 + インセンティブ（7万円〜15万円／1案件） ※経験・年齢・スキル・前職の給与額を …
388,株式会社ケーシーエス・エス | 大阪府内を中心とした近距離のみ／【大阪府緊急雇用対策に賛同】,入社2年目の平均月収40万円◎しっかり稼げる【ドライバー】 正社員,正社員,◆月給21万円以上+インセンティブ+残業手当+各種手当 ※2年目の平均月収は40万円。5〜6年目で年収600万円…
389,株式会社SAMURAI | ■賞与支給実績は年3回 ■営業ノルマなし ■堅苦しくない店舗,未経験歓迎★【営業】※残業ほぼなし＆休みは希望を反映！ 正社員,正社員,月給20万円〜50万円 ※経験・年齢・スキルを考慮の上、優遇致します。 【年収例】 未経験入社1年目:年収…
